,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
177,株式会社EPファーマライン | EPSホールディングス株式会社（東証一部上場）グループ,経験を活かし、医療業界で働く【提案営業】 正社員,正社員,《仕事を通じて人と社会に貢献！》医薬品・医療機器・ヘルスケア関連業界に、当社が提供する各種アウトソーシングサービスの提案をします。,【応募条件】大卒以上／製薬企業での営業経験がある方,【転勤なし】★池袋駅 地下1b出口直結 駅から雨に濡れずに通える、通勤に便利な立地です！ 本社／東…,年俸／450万円〜700万円スタート ★年俸額の1/12を月々支給します。 ・経験、年齢などを考慮して決定い…
178,"東日本コンクリート株式会社 | 東証一部上場の""株式会社ビーアールホールディングス""のグループ",残業月20h・年間休日120日・正社員登用率100%!【土木施工管理】 契約社員,契約社員,<過去5年の社員定着率96％!>橋梁、防災施設等(新設、修繕)の土木工事現場の施工管理者として工程管理、品質管理、安全管理、原価管理等の業務を担当。,"30～40代が活躍中！【""即戦力""の募集】◎1級土木施工管理技士の有資格者 ★資格取得の支援あり(テキストや講習・受験費用は2度の受験まで全額負担！)",【転勤なし／UIターン歓迎！】 宮城県仙台市青葉区一番町2丁目2-13 仙建ビル5階 ※現場は東北…,月給22万円〜38万円＋各種手当+賞与年3回 ※あなたの経験、資格、年齢等を考慮し当社規定により優遇しま…
179,ミライフ東日本株式会社 | 東証一部上場の『シナネンホールディングス(株)』のグループ会社,★月給50万円以上を保証★ 即戦力募集のレア求人！【人事総務】 正社員,正社員,【人事総務分野で会社全体のマネジメントを担当】◎目標作成・目標管理 ◎制度設計 ◎採用計画の策定 など ※スキルを活かしてご活躍ください！,【幹部クラスのマネージャー採用！年齢不問です】◎人事総務での実務経験 ◎マネジメント経験(約10年以上) ◎目標管理、研修設計の経験,【転勤なし】 宮城県仙台市青葉区国分町3-6-1　仙台パークビル12階,月給50万円以上 ※経験、スキル等を考慮し当社規定により優遇します ※試用期間3ヵ月間は同条件
180,株式会社システムロード,自社内開発多数【SE】★年間休日127日(土日祝休) ★資格支援あり 正社員,正社員,【大手企業向けや地元優良企業向けのシステム開発】これまでの経験に応じて、要件定義・基本設計～プログラミングをお任せします。,【必須】オープン系もしくはWeb系システムの開発経験者 ※言語不問、経験フェーズ不問。大学で学んだ程度というかたも歓迎！,宮城県仙台市青葉区一番町二丁目1番2号　NMF仙台青葉通りビル6F,"月給：195,000円〜289,000円 ※経験・年齢を考慮の上、当社規定により優遇します。 ◆試用期間3ヶ月（待…"
181,立川装備株式会社 | 【大阪府緊急雇用対策に賛同】★上場メーカー100％子会社,【法人営業】大阪勤務★月平均残業20h★年休124日 正社員,正社員,【ブラインド・スクリーン類の国内トップシェア！】親会社「立川ブラインド工業株式会社」の製品、およびその他内装建材製品全般の提案営業をお任せ！,【学歴不問】法人営業経験（業界・年数不問）・普通自動車運転免許 ★建材、建築、内装業界の経験があれば歓迎！（業界未経験者も多く活躍中！）,【大阪支店】大阪府大阪市北区中津2-3-5 地下鉄御堂筋線「中津駅」徒歩4分 阪急線「中津駅」より…,"【月給】225,700円〜269,500円（一律固定手当5,000円含む） ※経験・年齢・スキル等に応じて決定していき…"
182,株式会社イチネン | 東証一部上場グループ＆創業90年＆17期連続増益の安定基盤を確立,自動車リースの【法人営業】◎年休124日◎土日祝休み※仙台募集 正社員,正社員,自動車リースの導入のご提案をお任せします。※あらゆるメーカーの車種を扱えるので、お客様ニーズに確実に応えられる提案が可能です,応募条件◆大卒以上◆要普免◆自動車リースの法人営業経験が2年以上ある方 ／東証一部上場グループならではの手厚い手当や福利厚生のもとで働けます,◎「北四番丁」駅から徒歩2分の好立地！ ◆東北支店 宮城県仙台市青葉区上杉一丁目6番6号　イースタ…,"◆日給月給225,000円〜302,700円 ※経験・スキル・現職給与等を考慮して決定 ※固定残業代(4時間21分〜5…"
183,東京セメント工業株式会社 | ★創業70年超の老舗メーカー ★各種手当充実 ★完全週休二日,業界未経験歓迎！【生産管理】★残業月平均10H程度★土日祝休み 正社員,正社員,【国際的な競技場やリニア案件でも製品を供給！】コンクリート製品を製造する工場での管理業務。生産計画・工程管理・設備管理等を主にお任せします。,●年齢不問 ●生産管理の業務に携わった経験をお持ちの方（業界は不問）＊残業は月平均10時間程度。メリハリ付けて働けます！,【基本転勤なし／UIターン歓迎／神奈川工場（相模原市緑区）にて募集／マイカー通勤可】 ●神奈川工場…,月給：25万〜35万円 + 各種手当 + 賞与年2回 ★経験・年齢を考慮の上、優遇いたします。 ★試用期間6ヶ…
184,一般財団法人宮城県建築住宅センター | 建築・住宅審査・検査業務を担う！宮城県内で確かな実績あり,【機械設備(建築設備)工事施工管理】※完全週休二日制・転勤なし 正社員,正社員,◎宮城県、県内市町村等公共団体から委託を受け、建築・設備工事に関する工事監理支援業務を行います。,【経験者限定募集(*)】◎高卒以上：工業系の学部学科卒の方 ◎管工事施工管理技士の取得者は歓迎,【転勤なし】 仙台市青葉区本町三丁目5番21号　アーカス本町6階,"高卒初任給：月給20万4,000円〜 大卒初任給：月給22万円〜 ※経験、年齢等を考慮の上、決定。 ※試用期間…"
185,東北ミサワホーム株式会社 | 大手地場企業のブランド力が強み！ ★年間休日122日,《 研修＆OJT充実 》経験やスキルを活かして活躍！【営業】 正社員,正社員,集客方法はWebや広告…ニーズのあるお客様にミサワホームの注文住宅提案～アフターフォローまで担当,◎高卒以上 ◎要普免(AT限定可) ◎住宅の営業経験、宅地建物取引士、建築士、インテリアコーディネーター、いずれかの経験や資格をお持ちの方,【UIターン歓迎／マイカー通勤OK】 仙台・山形・郡山・盛岡・青森・秋田のいずれかの支店 ※希望勤…,"月給180,000円〜300,000円＋各種手当+報奨金 ※年齢、職歴、経験等に応じて決定します"
186,株式会社YKP建築設計コンサルタント | 【雄健工業グループ】★中途入社率95％ ★資格手当あり,【建築構造設計】★年間休日123日★土日祝休み★残業月30h以内 正社員,正社員,自走式立体駐車場or一般建築物の建築構造に関わる全業務を担当。構造設計業務、地盤調査計画、コストチェック、耐震診断、構造図作成、現場監理など,【第二新卒歓迎・学歴不問】◆構造設計業務or設計監理業務の知識をお持ちの方 ◇構造設計1級建築士または建築士の有資格者は活かせます！,★転勤無し・U/Iターン歓迎★ ※勤務地は希望を考慮いたします ■東京本店 東京都港区芝大門2-1…,月給25万〜40万円 ※前職の給与を最大限考慮します！ ※経験・年齢・スキル・資格などを考慮し、話し合い…
187,マルコメ株式会社 | 【マルコメ君でおなじみ！】日本を代表する発酵食品メーカー！,【法人営業】※全国転勤有　★発酵食品のリーディングカンパニー 正社員,正社員,【法人への営業】みそ・糀をはじめとする発酵食品の営業活動！ヒアリングからご提案、受注からアフターフォローまでをお任せします。,【人物重視の採用】35歳以下の方※発酵食品のリーディングカンパニーでさらなる成長を！時代に先駆けた取り組みで成長を続ける当社で活躍しませんか？,北海道・宮城・東京・群馬・ 静岡・石川・長野・愛知・兵庫・広島・香川の各拠点 【東京本部】 東京都…,月給21万円〜 ※経験、資格、能力等を考慮の上、決定します。 ※詳細につきましては、面接時にご相談くだ…
188,株式会社アタックス | 年間休日124日(土日祝)／家族手当・資格手当も充実◎,【経営コンサルタント】経営課題の解決を幅広くサポート！ 正社員,正社員,【仙台】ビジネスコンサルタント ～転勤なし・東北の企業経営・事業再生のパートナー～,【実務経験がない方も歓迎！】◎大卒以上 ◎社会人経験の中で、何らかの課題解決や改善を行ったことがある方 ★資格取得に向けて勉強中の方も歓迎です,【転勤なし／UIターン歓迎／仙台駅より徒歩1分】 <仙台事務所> 宮城県仙台市青葉区中央1-2-3…,"月給239,500円〜 ※試用期間6ヶ月(同条件) ※経験・能力・資格に応じて決定いたします。 【充実の研修…"
189,池田建設株式会社 | 創業89年の安定基盤を誇る／年休120日以上・完休2日などオフも◎,世界遺産・現代建築を未来へ【提案営業】※経験者募集 正社員,正社員,公共もしくは民間企業に向けた提案営業をお任せ。※世界遺産の薬師寺や重要文化財の護国寺、近代建築、インフラ整備に至るまで幅広く手掛けています。,◆第一種普通自動車運転免許（AT限定可）◆ゼネコンでの営業経験　※マネジメント経験がある方は歓迎！ゆくゆくは東北支店長としてのキャリアも可能。,◆転勤無し＆U・Iターン歓迎 ◆仙台市（五橋駅徒歩1分）にてご活躍いただきます 東北支店／宮城県仙…,年俸 500万円〜700万円 ※上記金額の12分の1を毎月支給 ※上記金額には、月30時間相当分の固定残業代と…
190,三菱地所プロパティマネジメント株式会社 | 【三菱地所グループ】業界トップクラスの安定基盤,【建築技術系総合職】※全国募集◆年休125日◆フレックス勤務可 正社員,正社員,受託ビルにおける工事提案、施工管理、監理業務をお任せします。受託ビルのほとんどが大規模なオフィスビルや複合ビルです。,次のいずれかの経験をお持ちの方：設計事務所での設計監理業務経験／改修工事経験／ゼネコン・サブコンなどでの設計・工務・施工管理経験,全国の各拠点に配属となります。 【首都圏】 東京都千代田区丸の内2-2-3 丸の内仲通りビル2階…,"月給289,400円〜413,840円 ※固定残業手当は月20時間該当分、41,200円〜58,940円を含む 　超過した時間外…"
191,株式会社ニア | 年間休日125日×残業月10H×経験の浅い方も自信をもって働ける！,★約束★最後の転職先になる環境を用意！【IT・WEBエンジニア)】 正社員,正社員,【スキルや適性に合ったプロジェクトに携わっていただきます☆】様々な内容・規模のプロジェクトがあり、スキルや目標にあったお仕事をお任せします！,<20～30代活躍中！>◎何かしらの開発エンジニアの経験がある方(言語不問) ★将来の夢やキャリアプランを一緒に話しましょう,【転勤なし・交通費全額支給！】 本社／宮城県仙台市青葉区五橋1-7-15 ピースビル五橋6階 ＜屋…,月給25万円〜45万円 ※固定残業代4.8万円〜8.6万円（30時間分）含む。超過分は別途支給。 ※固定残業代…
192,株式会社シェルター | 《受賞歴・メディア掲載も多数！》☆年休112日　☆研修充実,注文住宅から大規模な木造建築にも携われる！【建築施工管理】 正社員,正社員,【注文住宅から役場庁舎・学校も施工！大規模な案件にもチャレンジできます】◎木造住宅・大規模木造建築の各種管理業務を担当,■建築施工管理の経験、もしくは建築施工管理技士 or 建築士（一級・二級）の有資格者☆自身のスキルをさらに伸ばしたい方大歓迎,【山形県山形市、宮城県仙台市、東京都港区での勤務】 ※勤務地は希望を考慮の上で決定します ◎本社…,"月給23万5,000円以上 ※経験、年齢等を考慮し当社規定により優遇あり ※試用期間3ヵ月も同条件"
193,宮城相扶株式会社 | 土日祝休み/年間休日115日/スキルを活かして、仙台で働く！,オフィスプラン提案の【ルート営業】※転勤なし/U・Iターン歓迎 正社員,正社員,【オフィスの机やイスなどの什器備品・レイアウトプランの提案営業】◎お客様比率は民間：官公庁＝8：2　◎仙台市内近郊エリア・社用車あり,【即戦力募集！顧客対応や新規開拓の経験がある方】◎高卒以上　◎要普免　◎法人営業の実務経験　☆業界トレンド・商品知識はあとからでOK,【転勤なし/U・Iターン歓迎】 仙台市青葉区立町27-21　仙台橋本ビルヂング1階,"月給219,500円〜290,800円（一律手当含む） ※固定残業代（39,090円〜、30時間分）含む。超過分は別途支…"
194,高柳電設工業株式会社 | ◎創業68年◎福島県内トップクラスの売上高,創業70年！官公庁案件多数！福島屈指の優良企業【電気設備工事】 正社員,正社員,主に商業施設や公共施設、病院や福祉施設、オフィス、工場・倉庫など様々な施設に向けた電気工事における施工管理業務全般をお任せします。,<学歴不問>◎電気工事の経験をお持ちの方、または電気工事関連資格（電気工事士、電気工事施工管理技士）をお持ちの方【要普免】,本社 〒963-8851福島県郡山市開成6丁目120番地 ■電車・バスの場合 JR東北本線（新幹線…,■月給：25万円〜43万円
195,株式会社東北システムズ・サポート | ≪入社時に有給支給＆年間休日120日＆フレックスタイム制導入≫,システム開発【PM】◎やりがい抜群◎主要取引先は50社以上 正社員,正社員,【上流工程から保守まで、システム開発全般をマネジメントを行います】◎入社と同時に年次有給休暇14日付与◎年3回の賞与支給で頑張りがしっかり評価,【学歴・資格不問】＜マネジメント経験のある方募集！＞◎勢いのある会社でマネジメントをしたい方歓迎◎年間休日120日◎再雇用制度あり,【盛岡・仙台・東京での勤務】 ※希望勤務地を考慮いたします ※盛岡/仙台への転勤が発生する場合もあ…,"（1）仙台、盛岡 月給:234,000円〜285,600円 （2）東京 月給:304,000円〜355,600円 【月収例】 （1）25…"
196,株式会社不二レーベル | オーダーメイドのラベル自動貼付機メーカー★設立54年の安定企業,年間休日122日★完全週休2日(土日)【ルート営業】 正社員,正社員,【商品の“顔”＝「ラベル」のデザイン提案～手がける！】既存のお客様へ、ラベルのデザイン～技術面までオーダーメイドでご提案！※月残業平均10h程,＼未経験・第二新卒歓迎！事業拡大につき複数名採用／【応募条件】★30歳まで(*) ★要普免(AT限定可) ◎OJT・座学研修など教育体制も万全です！,埼玉(本社)／大阪／宮城／福岡のいずれかへの配属となります(希望を考慮) ★U・Iターン歓迎 ★マ…,"【月給】21万5,000円〜26万7,000円＋賞与年2回 ※経験・年齢などを考慮し当社規定により決定します。 ※…"
197,株式会社薬王堂 | 東証一部上場の「薬王堂ホールディングス」グループ,【店舗の建築施工管理】年休111日(基本土日)/残業月平均10h程度 正社員,正社員,【東北エリアの出店を支える建築部門の募集】◎建築計画から外注対応まで、社内外と連携しながら業務を進めてください ※上場企業で福利厚生充実,【経験者を募集】◎店舗の施工管理など建築現場を管理された経験(年数不問) ※建築施工管理技士・建築士取得者は尚可,【本社(岩手県紫波郡矢巾街)、又は仙台事務所での勤務】 ◎本社 岩手県紫波郡矢巾町大字広宮沢第3地…,月給27万円〜37万円 ※経験、年齢等に応じ当社規定により優遇します ※試用期間3ヵ月間も同条件 ※上記は…
198,飛島建設株式会社 | 東証一部/創業137年/高い技術力あり/フレックスタイム/65歳定年,東証一部上場/創業137年の中堅ゼネコンの【土木施工管理】 正社員,正社員,《トンネル、ダム、シールド、橋梁、処理場など、全国の大型プロジェクトへの参画実績多数あり！》土木工事の施工管理業務をお任せします。,《専門学校・高専卒以上》◆1級土木施工管理技士の資格をお持ちの方,《入社時は希望勤務地に配慮》 【首都圏土木支店】 東京都港区港南一丁目8番15号 Ｗビル３Ｆ ≪ア…,"【月給】288,000円〜506,000円＋諸手当 ※経験・スキルなどを考慮のうえ、当社規程により決定いたします。"
199,飛島建設株式会社 | 東証一部/創業137年/高い技術力あり/フレックスタイム/65歳定年,東証一部上場/創業137年の中堅ゼネコンの【建築施工管理】 正社員,正社員,建築工事における施工管理業務や発注者等との交渉業務をお任せします。,≪専門学校・高専卒以上≫施工管理の実務経験や建築学科卒などのバックグラウンドをお持ちの方の募集となります！,《入社時は希望勤務地に配慮》 【首都圏建築支店】 東京都港区港南一丁目8番15号 Ｗビル３Ｆ ≪ア…,"【月給】288,000円〜506,000円＋諸手当 ※経験・スキルなどを考慮のうえ、当社規程により決定いたします。"
200,株式会社東北システムズ・サポート | ≪オフィス駅近＆年間休日120日＆フレックスタイム制導入≫,【サーバーエンジニア】フレックスタイム制導入/ 働きやすさ◎ 正社員,正社員,【IBM製品の運用・保守作業を行います】◎保守作業をしながら提案も行います◎自分にあった勤務時間で出社◎夜勤勤務なし◎プライベートも充実♪,【学歴・資格不問】＜実務経験のある方募集！＞◎インフラ運用・構築の経験者も歓迎します◎完全週休2日制＆年間休日120日！◎しっかり休める♪,【転勤なし！】 ■本社 宮城県仙台市青葉区中央1丁目6番35号 東京建物仙台ビル17F,"月給:175,000円〜350,000円 【月収例】200,000円〜389,000円 ※年齢・経験等を考慮し当社規定により決…"
201,ツヅキインフォテクノ東日本株式会社 | 東証一部上場 都築電気株式会社100%子会社/健康経営優良法人認定,《名古屋支店》通信設備の【技術スタッフ】*賞与4.3ヶ月分支給 正社員,正社員,電話など通信設備の設計、施工、保守などをお任せします。訪問先は法人のため、個人宅は一切ありません！インフラに関わるやりがいのある仕事です。,【未経験】29歳までの方（※）【経験者】電気通信設備の工事に関わる業務（年数不問）電気工事士の資格をお持ちの方は優遇します。,◆名古屋支店勤務 ◆最寄駅（千種駅）より徒歩1分 ◆U・Iターン転職希望者歓迎 〔所在地〕 愛知県…,"月給17万6,000円〜21万2,000円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間6ヶ月あ…"
202,株式会社薬王堂 | 東証一部上場の「薬王堂ホールディングス」グループ,【店舗開発】※完全週休二日制(土日祝)・残業月平均11.2h 正社員,正社員,【各県における店舗開発業務】◎土地オーナーとの交渉から契約締結までの一連業務 ※東北エリアの出店になります,【学歴】高卒以上【いずれかの経験がある方】◎店舗開発経験(業界・年数不問) ◎不動産法人営業経験(年数不問),【東北六県のいずれかの勤務になります】 ※勤務地は希望を考慮します ◎岩手県 岩手県紫波郡矢巾町大…,月給23万円〜 ※経験、年齢等に応じ当社規定により優遇します
203,株式会社深松組 | 【創業95年／仙台本社】■転勤なし■売上高は100億円規模,賞与年2～3回/年間休日120日【土木施工管理】※有資格者限定募集 正社員,正社員,【現場は仙台・仙台近郊・宮城が中心で遠方なし】■官公庁案件が中心■橋梁や堤防、下水道整備、道路改良工事等の施工管理をお任せします。,【有資格者限定募集／学歴・年齢不問】■土木施工管理技士2級以上をお持ちの方■要普免《退職金制度、リフレッシュ休暇、ホテル提携等福利厚生充実》,【転勤なし／U・Iターン歓迎】 ■現場は仙台・仙台近郊を中心に宮城県が中心 ＜本社＞ 宮城県仙台市…,"月給：230,000円〜420,000円＋残業代等の各種手当 ※経験、能力を考慮の上、決定致します。"
204,株式会社日設 | 【ミライトグループ】「ワーク・ライフ・バランス推進企業」認定,【空調設備施工管理】※年間休日125日／完全週休2日制 正社員,正社員,【大型案件や公共関係の案件多数／案件のほとんどが元請】空調・給排水衛生・電気設備工事に関する施工管理業務をお任せします。,2級または1級管工事・電気工事施工管理技士をお持ちの方／　経験を活かし、安定した働きやすい環境で活躍したい方は是非ご応募ください。,希望勤務地を考慮します！＜本社または各支店・営業所近辺のプロジェクト先＞※直行直帰となります 【本…,"月給210,000円〜416,667円 ※経験や能力を考慮の上、決定します"
205,サンコーコンサルタント株式会社 | 東北支店,＼経験者採用／経験生かしてしっかり稼げる！【土木設計士】 契約社員,契約社員,東北支店では依頼された案件の主が、道路や河川の設計業務になり、【土木設計業務】を行っていただきます。,【土木設計士】◆必須：土木系の設計業務　◆歓迎：技術士RCCM、河川・道路の設計経験者,東北支店/仙台市青葉区堤町1-1-2,月給：30万円〜50万円 ※給与はスキル、年齢、経験、資格などを考慮し決定します。 ※上記月給は最低保…
206,株式会社深松組 | 【創業95年／仙台本社】■転勤なし■売上高は100億円規模,賞与年2～3回/年間休日120日【建築施工管理】※有資格者限定募集 正社員,正社員,【現場は仙台・仙台近郊・宮城が中心】■建築施工管理■マンション/工場/オフィス/商業施設/公共施設等の大規模な案件～各種改修・修繕まで多種多様！,【有資格者限定募集／学歴・年齢不問】■建築施工管理技士2級以上をお持ちの方■要普免《退職金制度、リフレッシュ休暇、ホテル提携等福利厚生充実》,【転勤なし／U・Iターン歓迎】 ■現場は仙台・仙台近郊を中心に宮城県が中心 ＜本社＞ 宮城県仙台市…,"月給：230,000円〜420,000円＋残業代等の各種手当 ※経験、能力を考慮の上、決定致します。"
207,株式会社豊国プラントシステム | 【ホウコクホールディングスグループ】業績好調／年間休日124日,農業を支える!【点検・調整】◎土日休み◎未経験歓迎 ※大阪勤務 正社員,正社員,〈 残業月20時間程度◎ 〉お米の乾燥機械などの点検、アフターサービス（下請け会社の手配や見積もり作成など）をお任せします。★研修制度も充実！,〈 未経験／第二新卒歓迎！〉◎大卒以上 ◎要普通免(AT限定可) ◎スケジュール調整が得意な方 ◎機械が好きな方 ★先輩も全員未経験からの入社です！,〈 転勤なし／UIターン歓迎 〉 関西営業所／ 大阪府大阪市西区北堀江1-8-12 （地下鉄「四ツ…,月給：20万円 〜 30万円＋各種諸手当 ※経験・年齢を考慮の上、当社規定により優遇いたします。 ※6ヶ月…
208,十全株式会社 | 【化学薬品の専門商社】◎年間休日125日/仙台支店募集,30歳以下限定募集！【ルート営業】年休125日/残業月平均10h 正社員,正社員,【官公庁や企業への定期訪問など既存顧客中心のルート営業】◎無機薬品・有機薬品・食品添加物・食品など化学薬品をニーズに合わせてご提案します,【未経験者歓迎】◎30歳以下の方（※） ◎要普免 ◎大卒以上/文理不問(知識はゼロから身につきます) ◎意欲重視のポテンシャル採用です！,◎宮城県仙台市青葉区一番町1-1-31 山口ビル5階 【転勤について】 入社後すぐの転勤はありませ…,"月給21万円〜28万5,000円 ※経験、年齢等を考慮し当社規定により優遇します"
209,空研工業株式会社 | 全国トップクラスの実績を誇る★年休124日でプライベート充実！,冷却塔の【品質管理】★豊富な手当！★前年度賞与5ヶ月！ 正社員,正社員,◎国内トップクラスのシェアを誇る当社の冷却塔に関する品質管理業務をお任せします　★リーディングカンパニーで輝くスキルを習得するチャンス！,【 増員募集 】メーカーにおける品質管理の業務経験が1年以上ある方　★20代・30代活躍中！　★ライフワークバランス重視の働き方が実現！,福岡県宮若市芹田586番地 ◎転勤なし ◎マイカー通勤OK ◎U・Iターン歓迎,月給23万3000円〜30万7000円 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上…
210,空研工業株式会社 | 全国トップクラスの実績を誇る★年休124日★前年度賞与5ヶ月,産業用冷却塔の【設計】＃転勤なし＃海外出張の可能性あり 正社員,正社員,◎海外プラント向けの産業用冷却塔の設計業務をお任せします　★世界で輝くチャンスがたくさん！　★さらなる技術力向上を目指したい方にもオススメ！,【 業績好調に伴う増員募集！】CADを使った設計業務の経験がある方（年数不問！）　★機械工学関連の知識をお持ちの方は尚良　★20代・30代活躍中,福岡支店／福岡県福岡市中央区大濠公園2-39 もしくは 福岡工場／宮若市芹田586番地 ※勤務地は…,月給23万3000円以上 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇し…
211,空研工業株式会社 | 全国トップクラスの実績を誇る★土日祝休み／年休124日,空調機器や給排設備の【設計職】☆前年度賞与5ヶ月分☆転勤なし 正社員,正社員,◎空調機器や、給排水における配置・配管の設計業務をお任せします　★設計には「2D-CAD」を主に使用！　★設計業務に集中できる環境が整っています！,【 業績好調に伴う増員募集！】◎管工事に限らず設計経験のある方　★20代・30代活躍中！　★ライフワークバランス重視の働き方が実現！,福岡県福岡市西区内浜2丁目4番38号 ◎転勤なし ◎マイカー通勤OK ◎U・Iターン歓迎,月給23万3000円以上 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇し…
212,三菱地所プロパティマネジメント株式会社 | 【三菱地所グループ】業界トップクラスの安定基盤,【営業管理系総合職（PM）】※全国募集◆年休125日/福利厚生充実 正社員,正社員,主にオフィスビルにおけるプロパティマネジメント業務全般を担当して頂きます。,◇大学院・大学卒以上 ◇以下いずれかの経験をお持ちの方⇒プロパティマネジメント業務経験／不動産業界での営業経験　★オフィスのPM経験者は歓迎！,【本社・東京都内各営業管理部】 東京都千代田区丸の内2-2-3 丸の内仲通りビル2階 ※対応エリア…,"月給289,400円〜413,840円(固定残業手当を含む) ※固定残業手当は月20時間該当分、41,200円〜58,940円を…"
213,古久根建設株式会社 | <医療・リネン系業界大手ワタキューグループ>,100％元請け案件で活躍！【施工管理】☆実務未経験歓迎 正社員,正社員,<入社後はOJTで学べます！>マンション・工場・医療福祉施設などの案件の施工管理業務。「元請け」の立場で現場全体をまとめてください！,【実務未経験・第二新卒歓迎！】◆建築または土木の知識をお持ちの方◎安心の環境でスキルアップしたい方はぜひ！◎勉強会や資格取得支援制度あり,◆関東エリア（東京・神奈川・千葉・埼玉）の各現場 ◆東北エリア（主に仙台周辺）の各現場 ☆勤務地は…,月給23万円以上＋時間外手当・家族手当など各種手当 ※経験・スキルを考慮し、当社規定により優遇致しま…
214,株式会社セレクティー | 『個別教室のアップル』◎仙台「四方よし」企業大賞・大賞受賞！,U・Iターン歓迎！【教室運営スタッフ】年休120日以上・賞与年3回 正社員,正社員,【高定着率の職場で長く活躍！】◎生徒に合わせた学習プランの作成 ◎生徒や保護者、講師へのフォロー業務 ★未経験者も安心の研修体制あり！,【応募条件：大卒以上】◎異業種からの転職者も多数活躍中です！ ◎人と接する仕事が好きな方は歓迎します！,宮城県仙台市内の各教室勤務 ※勤務地は希望を考慮します ◎仙台駅前教室・アップル予備校 仙台市青葉…,月給：20万円〜 ※経験、年齢等を考慮し当社規定により優遇 ※試用期間3ヵ月間も同条件 ※時間外手当をは…
215,斎久工業株式会社 | 《 まもなく創業100周年・ビルの総合快適クリエイター 》,【設備施工管理（給排水衛生・空気調和）】 正社員,正社員,【 水や空気を守る管理者 】★ビル建設に欠かせない「給排水」分野のパイオニア企業の施工管理業務をお任せ★,【年齢・学歴不問】◎施工管理の経験3年以上 ★1・2級管工事施工管理技士・消防設備士の資格保有者（取得予定者も可） は優遇 ★,◆東京支社（東京都千代田区丸の内2-5-2 三菱ビル4F） ◆札幌支店（北海道札幌市北区北7条西4…,《施工管理のご経験3年以上の方》 月給23万〜35万円 ＋ 賞与年2回 《設備施工管理のご経験5年以上の方…
216,ELJソーラーコーポレーション株式会社 | 11/23 マイナビ転職フェア新宿～20代の転職を応援～に出展します,魅力をPRする【広報・宣伝】★残業月10h以下 ★20代多数活躍中！ 正社員,正社員,＜ 商談日を決め、専任担当にバトンタッチ…までがあなたの役割 ＞チームワークが基本！¨ご家庭向けのエコシステム¨の魅力を広める広報のお仕事！,＜ 未経験から活躍できる ＞ ★38歳までの方(※) ★第二新卒OK ★産休・育休取得実績多数 ◎20代のスタッフを中心に活躍中！,＜ 宮城、群馬、埼玉、千葉、神奈川、新潟、静岡、愛知、京都、大阪、兵庫、岡山、広島、福岡、熊本での…,月給21.5万〜27万円（一律手当含む）＋ 報奨金 ※頑張りに応じて、加給優遇します。 ★ご案内したお客様…
217,アイフォーコム株式会社 | ＜2020年11月28日(土)マイナビ転職フェア町田＞出展決定！,自社商品開発に携われる【SE・PG】※年間休日125日 正社員,正社員,各種Web・オープン系システム開発・インフラ構築を中心にお任せ致します。★自社内開発・自社サービス開発にも携われます！,【20～30代中心に活躍中】やりがいの得られる環境で活躍したい、周囲とのコミュニケーションを大切にできる方★知識があれば業務未経験者も歓迎です！,当社の各開発拠点（横浜・相模原・札幌・盛岡・仙台・大阪・福岡）および首都圏のプロジェクト先 ※勤務…,月給：23万円〜50万円 ※前職給与、経験、能力等を考慮し、 　話し合いの上、決定いたします。 ※試用期…
218,株式会社寒河江測量設計事務所 | 《表彰実績多数！／最新機材を積極的に導入／早期キャリアUP可》,専門技術を活かして街を豊かに！【営業職】☆転勤なし 正社員,正社員,【円滑にプロジェクトを進めるための屋台骨】国土づくりに関する測量設計業務等の受注に向け、情報収集、営業資料、見積書の作成等を行います。,【人柄重視！業界未経験・第二新卒歓迎】 ☆要普通免許(AT限定可) ☆高卒以上 ☆営業経験をお持ちの方、建設・土木業界の経験・知識のある方大歓迎！,【転勤なし／U・Iターン歓迎】 ●本社 山形県寒河江市大字西根字長面153番地の1 ●交通アクセス…,"月給190,000円以上 ※経験・年齢を考慮の上、当社規定により優遇します。"
219,株式会社パーフェクション | 【営業なし！残業なし！ノルマなし！】制度&福利厚生も充実！,＜未経験者活躍中＞契約済のお客様先を訪問する【調査スタッフ】 正社員,正社員,【全国各地！】ご契約の意思を頂いているお客様先に訪問し、ご契約内容の復唱確認と通信環境の調査、契約書の回収を行うだけ！,【未経験者活躍中／学歴・経験不問！】全国出張楽しめる方大歓迎◎要普通免許（AT限定可）,【仙台駅から徒歩圏内♪】 宮城県仙台市青葉区本町1-12-12　GMビル6F ＼ オフィスの1階に…,"月給206,000円〜400,000円＋歩合給＋出張手当3000円／日 ※試用期間2ヶ月(月給256,000円) ※経験・スキ…"
